               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.022871,            0.013826,          0.00056676,             0.98068,             0.99482,             0.99107,             0.73826,            0.021308,           0.0087203,           0.0005166,            0.008548,            0.008548,            0.008548
                  90,            0.023615,            0.013781,          0.00059021,             0.98077,             0.99504,             0.99045,             0.72199,             0.02257,           0.0088592,          0.00057144,           0.0085315,           0.0085315,           0.0085315
                  91,            0.023185,            0.014569,          0.00058972,             0.98055,             0.99504,             0.99126,             0.74867,            0.021167,            0.008821,            0.000536,            0.008515,            0.008515,            0.008515
                  92,            0.022977,            0.013969,          0.00052553,             0.98002,             0.99267,             0.98895,             0.73175,            0.021484,           0.0088931,          0.00048356,           0.0084985,           0.0084985,           0.0084985
                  93,            0.023459,            0.014346,          0.00049761,             0.98012,             0.99504,             0.99182,             0.74179,            0.021804,           0.0089766,          0.00046419,            0.008482,            0.008482,            0.008482
                  94,            0.023461,             0.01502,          0.00048438,             0.97764,             0.99793,               0.992,             0.74537,              0.0216,            0.008956,          0.00047502,           0.0084655,           0.0084655,           0.0084655
                  95,            0.023528,             0.01456,          0.00051504,             0.97963,             0.99504,             0.99177,             0.73039,            0.021362,           0.0090835,          0.00047807,            0.008449,            0.008449,            0.008449
                  96,            0.023083,            0.013666,          0.00063566,             0.97593,             0.99504,             0.99177,             0.72415,            0.021679,           0.0090169,          0.00044857,           0.0084325,           0.0084325,           0.0084325
                  97,             0.02298,            0.014866,          0.00064088,             0.97785,             0.99296,             0.99193,               0.752,            0.021363,           0.0088978,          0.00042381,            0.008416,            0.008416,            0.008416
                  98,            0.022628,            0.014343,          0.00050463,             0.97693,             0.99218,             0.98588,             0.72966,            0.021263,           0.0089211,          0.00047049,           0.0083995,           0.0083995,           0.0083995
                  99,            0.022501,            0.014723,          0.00055548,             0.97994,             0.99296,             0.98705,             0.74324,            0.020802,           0.0088677,          0.00049074,            0.008383,            0.008383,            0.008383
                 100,            0.023162,            0.013856,          0.00059081,             0.98182,             0.99732,             0.98653,             0.72917,            0.020852,           0.0088924,          0.00047477,           0.0083665,           0.0083665,           0.0083665
                 101,            0.022923,            0.014524,          0.00044061,             0.97971,             0.99504,             0.99259,              0.7292,            0.020746,           0.0089935,          0.00043056,             0.00835,             0.00835,             0.00835
                 102,            0.022746,            0.014278,          0.00044329,              0.9802,             0.99504,             0.99124,             0.74293,            0.021132,           0.0090702,          0.00040999,           0.0083335,           0.0083335,           0.0083335
                 103,            0.022253,            0.013837,          0.00048681,             0.98121,             0.99504,             0.99153,             0.73503,            0.021165,           0.0089355,          0.00046097,            0.008317,            0.008317,            0.008317
                 104,            0.022438,            0.013189,          0.00060974,             0.98146,             0.99504,              0.9918,             0.73823,            0.021934,            0.008881,          0.00049323,           0.0083005,           0.0083005,           0.0083005
                 105,            0.022021,            0.014122,          0.00096164,             0.98132,             0.99746,             0.99213,             0.73394,            0.022137,           0.0088152,          0.00046895,            0.008284,            0.008284,            0.008284
                 106,            0.022297,            0.013569,          0.00047842,             0.98191,             0.99739,              0.9918,             0.72622,            0.022367,           0.0089832,          0.00041513,           0.0082675,           0.0082675,           0.0082675
                 107,            0.022438,            0.014116,          0.00053994,             0.97992,             0.99504,             0.99241,             0.74246,            0.021769,           0.0088913,          0.00037229,            0.008251,            0.008251,            0.008251
                 108,            0.021981,            0.013663,          0.00039445,             0.98046,             0.99504,             0.99226,             0.75371,            0.020792,           0.0088816,          0.00035026,           0.0082345,           0.0082345,           0.0082345
                 109,            0.023278,            0.014168,          0.00052613,             0.97859,             0.99504,             0.99207,              0.7435,            0.021911,           0.0089774,          0.00039164,            0.008218,            0.008218,            0.008218
                 110,            0.022759,            0.015028,          0.00053178,             0.98178,             0.99716,             0.98978,             0.73841,            0.021137,           0.0090545,          0.00041372,           0.0082015,           0.0082015,           0.0082015
                 111,            0.022382,            0.013644,          0.00055009,             0.98225,             0.99733,             0.99164,              0.7435,            0.020939,           0.0088903,          0.00041155,            0.008185,            0.008185,            0.008185
                 112,            0.022861,            0.015047,          0.00047517,             0.98163,              0.9925,             0.99223,              0.7469,            0.020772,           0.0088031,          0.00043933,           0.0081685,           0.0081685,           0.0081685
                 113,            0.022604,            0.013694,          0.00047936,             0.98291,             0.99225,             0.98791,             0.73465,            0.020877,           0.0089202,          0.00041776,            0.008152,            0.008152,            0.008152
